sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	Q3500415	Striga hermonthica															RO_0002236	rootParasiteOf		Q12111	Sorghum																field plots		Mbita, Kenya	-0.4166666667	34.2			Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	Q15487737	Desmodium uncinatum															RO_0002555	allelopathOf		Q3500415	Striga hermonthica																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15240093	Desmodium intortum															RO_0002555	allelopathOf		Q3500415	Striga hermonthica																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15485786	Desmodium pringlei															RO_0002555	allelopathOf		Q3500415	Striga hermonthica																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15486256	Desmodium sandwicense															RO_0002555	allelopathOf		Q3500415	Striga hermonthica																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15487737	Desmodium uncinatum															RO_0002555	allelopathOf		NCBI:4577	Zea mays																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15240093	Desmodium intortum															RO_0002555	allelopathOf		NCBI:4577	Zea mays																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15485786	Desmodium pringlei															RO_0002555	allelopathOf		NCBI:4577	Zea mays																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15486256	Desmodium sandwicense															RO_0002555	allelopathOf		NCBI:4577	Zea mays																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q3500415	Striga hermonthica															RO_0002236	rootParasiteOf		NCBI:4577	Zea mays																field plots		Mbita, Kenya	-0.4166666667	34.2		1200 m	long rainy seasons (March–August) of 2001–2004	10.1016/j.cropro.2006.01.008		Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995
	Q15240093	Desmodium intortum															RO_0002555	allelopathOf		Q2356249	Striga asiatica																pot experiments		Pretoria, South Africa	-25.75	28.21666667		1372 m				Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum‒Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112
	Q15240093	Desmodium intortum															RO_0002555	allelopathOf		Q12111	Sorghum																pot experiments		Pretoria, South Africa	-25.75	28.21666667		1372 m				Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum‒Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112
	Q2356249	Striga asiatica															RO_0002236	rootParasiteOf		Q12111	Sorghum																pot experiments		Pretoria, South Africa	-25.75	28.21666667		1372 m				Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum‒Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112
